company,job,place,exp,salary,combined
"Barbell Cartel                        
Actively hiring",Nutritionist,Bangalore                                                    (Hybrid),1 year(s),"₹ 3,00,000 - 7,00,000","nutritionist barbell cartel                        
actively hiring bangalore                                                    (hybrid)"
"Impetus Infosolutions                        
Actively hiring",Application Engineer-MFG,Pune,1 year(s),"₹ 2,00,000 - 2,20,000","application engineer-mfg impetus infosolutions                        
actively hiring pune"
"Growify Digital                        
Actively hiring",Social Media Marketing Associate,Delhi,1 year(s),"₹ 2,00,000 - 4,50,000","social media marketing associate growify digital                        
actively hiring delhi"
"GenElek Technologies Private Limited                        
Actively hiring",Business Development Associate,Delhi,0 year(s),"₹ 3,00,000 - 5,00,000","business development associate genelek technologies private limited                        
actively hiring delhi"
"Impetus Infosolutions                        
Actively hiring",Application Engineer - AEC,Pune,1 year(s),"₹ 2,00,000 - 2,10,000","application engineer - aec impetus infosolutions                        
actively hiring pune"
"Movie'ing Moments                        
Actively hiring",Social Media Marketing Manager,Mumbai,1 year(s),"₹ 3,60,000 - 6,00,000","social media marketing manager movie'ing moments                        
actively hiring mumbai"
"Acadmus                        
Actively hiring",Business Development Associate,Greater Noida,0 year(s),"₹ 3,00,000 - 4,25,000","business development associate acadmus                        
actively hiring greater noida"
"PROVEN PATH CONSULTANCY                        
Actively hiring",Corporate Sales Executive,Gurgaon,0 year(s),"₹ 2,00,000 - 3,00,000","corporate sales executive proven path consultancy                        
actively hiring gurgaon"
"Cosmos Staffing Solutions                        
Actively hiring",Customer Acquisition Associate,Noida,1 year(s),"₹ 3,50,000 - 5,00,000","customer acquisition associate cosmos staffing solutions                        
actively hiring noida"
"Brandzzy SoftTech Private Limited                        
Actively hiring",IT Sales Executive,Bhubaneswar,1 year(s),"₹ 2,00,000 - 3,00,000","it sales executive brandzzy softtech private limited                        
actively hiring bhubaneswar"
"Growify Digital                        
Actively hiring",Fashion Consultant (Sales),Delhi                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 4,50,000","fashion consultant (sales) growify digital                        
actively hiring delhi                                                    (hybrid)"
"Everstylish Lifestyle Private Limited                        
Actively hiring",Content Creator,Gurgaon,0 year(s),"₹ 3,00,000 - 3,60,000","content creator everstylish lifestyle private limited                        
actively hiring gurgaon"
"Elevate X Solutions                        
Actively hiring",Lead Generation Executive,"Delhi, Gurgaon",0 year(s),"₹ 2,16,000 - 4,00,000","lead generation executive elevate x solutions                        
actively hiring delhi, gurgaon"
"WaySpire EdTech Private Limited                        
Actively hiring",Business Development Associate,Gurgaon,0 year(s),"₹ 3,00,000 - 4,00,000","business development associate wayspire edtech private limited                        
actively hiring gurgaon"
"Mudraksh & McShaw Tech LLP.                        
Actively hiring",Risk Management Analyst - Algorithmic Trading,Noida,1 year(s),"₹ 2,00,000 - 2,50,000","risk management analyst - algorithmic trading mudraksh & mcshaw tech llp.                        
actively hiring noida"
"FreshBay                        
Actively hiring",Customer Service Associate,"Delhi, Ghaziabad, Noida                                                    (Hybrid)",0 year(s),"₹ 2,00,000 - 2,40,000","customer service associate freshbay                        
actively hiring delhi, ghaziabad, noida                                                    (hybrid)"
"Wildly Tech Private Limited                        
Actively hiring",Supply Chain Manager (SCM),Bangalore,1 year(s),"₹ 2,50,000 - 4,00,000","supply chain manager (scm) wildly tech private limited                        
actively hiring bangalore"
"Goodera                        
Actively hiring",Junior Associate - Client Service,Bangalore,1 year(s),"₹ 3,50,000 - 4,00,000","junior associate - client service goodera                        
actively hiring bangalore"
"Ameego Labs Private Limited                        
Actively hiring",Field Sales Executive,Ghazipur,1 year(s),"₹ 3,00,000 - 8,00,000","field sales executive ameego labs private limited                        
actively hiring ghazipur"
"THE NOIR BAGS                        
Actively hiring",Sales Manager,Mumbai,0 year(s),"₹ 2,00,000 - 3,00,000","sales manager the noir bags                        
actively hiring mumbai"
"Barbell Cartel                        
Actively hiring",Strength & Conditioning Coach,Bangalore,1 year(s),"₹ 4,00,000 - 7,00,000","strength & conditioning coach barbell cartel                        
actively hiring bangalore"
"Political Sampark                        
Actively hiring",Content Writer,Delhi                                                    (Hybrid),1 year(s),"₹ 3,00,000 - 4,50,000","content writer political sampark                        
actively hiring delhi                                                    (hybrid)"
"Tech Burner                        
Actively hiring",Video Editor,Bangalore,1 year(s),"₹ 3,60,000 - 4,20,000","video editor tech burner                        
actively hiring bangalore"
"Acadmus                        
Actively hiring",Customer Support Associate,Greater Noida,0 year(s),"₹ 2,00,000 - 3,50,000","customer support associate acadmus                        
actively hiring greater noida"
"Talent Corner HR Services                        
Actively hiring",Legal Executive,Mumbai,0 year(s),"₹ 2,00,000 - 3,00,000","legal executive talent corner hr services                        
actively hiring mumbai"
"Break The Code                        
Actively hiring",Junior Assoicate Performance Marketing,Mumbai,0 year(s),"₹ 2,00,000 - 3,00,000","junior assoicate performance marketing break the code                        
actively hiring mumbai"
"Bosscoder Academy                        
Actively hiring",Technical Content Writer,Noida,1 year(s),"₹ 3,60,000 - 5,40,000","technical content writer bosscoder academy                        
actively hiring noida"
"WEMATTER PXT Limited                        
Actively hiring",Digital Marketing Associate,Mumbai,0 year(s),"₹ 2,00,000 - 3,00,000","digital marketing associate wematter pxt limited                        
actively hiring mumbai"
"Wrexa Technologies LLC (Chennai, India)                        
Actively hiring",Sales Consultant,Phoenix (United States),1 year(s),"₹ 9,00,000","sales consultant wrexa technologies llc (chennai, india)                        
actively hiring phoenix (united states)"
"UniAcco                        
Actively hiring",Sales Operation Executive,Mumbai,0 year(s),"₹ 3,00,000 - 3,60,000","sales operation executive uniacco                        
actively hiring mumbai"
"Blue Rose Publishers                        
Actively hiring",Publishing Consultant,Noida,1 year(s),"₹ 3,50,000 - 4,50,000","publishing consultant blue rose publishers                        
actively hiring noida"
"Prime Dental Products Pvt Ltd                        
Actively hiring",Business Development Executive,"Thane, Navi Mumbai, Mumbai",0 year(s),"₹ 2,40,000 - 2,40,001","business development executive prime dental products pvt ltd                        
actively hiring thane, navi mumbai, mumbai"
"The Skillians                        
Actively hiring",Business Development Specialist,Gurgaon,1 year(s),"₹ 6,00,000","business development specialist the skillians                        
actively hiring gurgaon"
"BhojpuriT                        
Actively hiring",Social Media Marketing Manager (Female),Delhi                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 2,20,000","social media marketing manager (female) bhojpurit                        
actively hiring delhi                                                    (hybrid)"
