company,job,place,exp,salary,combined
"Dough One Sources Private Limited                        
Actively hiring",Associate UI/UX Designer,"Delhi, Gurgaon, Noida                                                    (Hybrid)",1 year(s),"₹ 2,00,000 - 3,00,000","associate ui/ux designer dough one sources private limited                        
actively hiring delhi, gurgaon, noida                                                    (hybrid)"
"AppVersal                        
Actively hiring",Programmatic Manager,Noida,1 year(s),"₹ 2,00,000 - 4,00,000","programmatic manager appversal                        
actively hiring noida"
"Dough One Sources Private Limited                        
Actively hiring",Associate Business Analyst,Sonipat,1 year(s),"₹ 2,00,000 - 4,00,000","associate business analyst dough one sources private limited                        
actively hiring sonipat"
"Pune Medical Coding Training Institute                        
Actively hiring",Medical Coder Trainee,Pune,0 year(s),"₹ 2,00,000 - 3,00,000","medical coder trainee pune medical coding training institute                        
actively hiring pune"
"Technoculture Research                        
Actively hiring",Graphic Designer,Bangalore,0 year(s),"₹ 2,00,000 - 5,00,000","graphic designer technoculture research                        
actively hiring bangalore"
"Titanium Fitness Club                        
Actively hiring",Corporate Sales Executive,Gurgaon,1 year(s),"₹ 3,00,000 - 4,00,000","corporate sales executive titanium fitness club                        
actively hiring gurgaon"
"Technoculture Research                        
Actively hiring",Science Content & Digital Designer,Bangalore,0 year(s),"₹ 2,00,000 - 5,00,000","science content & digital designer technoculture research                        
actively hiring bangalore"
"Cosmosphere International Pvt Ltd                        
Actively hiring",Modern Trade Sales Executive,"Delhi, Kolkata, Mumbai",1 year(s),"₹ 2,50,000 - 5,00,000","modern trade sales executive cosmosphere international pvt ltd                        
actively hiring delhi, kolkata, mumbai"
"Tring                        
Actively hiring",Business Development Executive,Mumbai,1 year(s),"₹ 2,50,000 - 4,00,000","business development executive tring                        
actively hiring mumbai"
"Brevistay Hospitality Private Limited (Noida, India)                        
Actively hiring",Business Development Executive,"Kochi (Japan), Ernakulam                                                    (Hybrid)",1 year(s),"₹ 3,00,000 - 4,50,000","business development executive brevistay hospitality private limited (noida, india)                        
actively hiring kochi (japan), ernakulam                                                    (hybrid)"
